like,love,wow,haha,sad,angry,category,quarter
12968947,767818,112496,319535,17782,6439,beauty,1
833680,25440,8414,3333,3166,422,"beauty,food",1
968078,39514,8735,63466,768,584,"beauty,food,travel",1
3220558,175337,15585,607836,7246,3444,"beauty,travel",1
46218416,1432436,486409,1096411,63012,29778,food,1
11291318,276923,131855,86380,9064,3499,"food,travel",1
22714310,841363,209761,191063,83834,30116,travel,1
11635678,688895,101245,475936,13379,4311,beauty,2
1547348,82082,14321,33639,585,621,"beauty,food",2
962244,44661,7332,15834,4531,277,"beauty,food,travel",2
3086615,124735,16630,726737,2976,2415,"beauty,travel",2
48990056,1725131,551075,1439248,50643,21675,food,2
10621192,313486,124272,45122,4823,1782,"food,travel",2
24980389,1027300,247895,154637,62593,12197,travel,2
15065214,836212,118287,318720,10254,4751,beauty,3
1087149,31444,7047,37133,4591,206,"beauty,food",3
1022901,43071,5374,34927,312,341,"beauty,food,travel",3
2539656,95891,10118,422848,2381,2161,"beauty,travel",3
47712147,1378347,347046,895735,40646,17148,food,3
13911061,298558,104939,68922,6566,4875,"food,travel",3
28160554,1103830,152250,177708,37713,17532,travel,3
16547509,832826,84750,290008,19912,5592,beauty,4
1298129,49494,10019,3727,289,83,"beauty,food",4
1037796,36633,4505,71309,335,241,"beauty,food,travel",4
3199376,136424,8031,478753,2414,2606,"beauty,travel",4
57383665,2218298,321714,1510748,60756,16440,food,4
15792914,369444,96242,55885,3306,2881,"food,travel",4
33880463,1175347,166557,252061,37642,21312,travel,4
